iter	Passed	Remaining
0	34	33969
1	58	29153
2	72	23997
3	89	22394
4	104	20782
5	118	19606
6	132	18860
7	147	18315
8	163	18028
9	186	18414
10	201	18116
11	215	17768
12	231	17547
13	290	20438
14	309	20346
15	326	20057
16	338	19601
17	354	19342
18	368	19001
19	383	18775
20	398	18588
21	414	18418
22	428	18209
23	443	18020
24	457	17836
25	470	17631
26	672	24250
27	710	24667
28	745	24961
29	796	25762
30	860	26884
31	909	27527
32	958	28088
33	1027	29181
34	1094	30166
35	1127	30203
36	1184	30841
37	1228	31091
38	1284	31660
39	1341	32202
40	1387	32453
41	1427	32567
42	1493	33246
43	1542	33510
44	1583	33615
45	1635	33913
46	1686	34204
47	1712	33973
48	1752	34021
49	1789	33995
50	1828	34022
51	1876	34204
52	1951	34860
53	1999	35030
54	2071	35594
55	2115	35661
56	2174	35975
57	2214	35959
58	2246	35836
59	2304	36096
60	2321	35730
61	2337	35356
62	2352	34991
63	2370	34671
64	2386	34324
65	2413	34160
66	2449	34108
67	2503	34309
68	2598	35060
69	2634	34998
70	2656	34756
71	2674	34473
72	2691	34183
73	2714	33965
74	2730	33677
75	2747	33405
76	2769	33200
77	2787	32952
78	2813	32802
79	2828	32531
80	2859	32440
81	2874	32176
82	2891	31941
83	2911	31754
84	2924	31484
85	2941	31259
86	2960	31066
87	2973	30813
88	2990	30613
89	3006	30403
90	3023	30196
91	3037	29977
92	3051	29763
93	3067	29565
94	3085	29395
95	3100	29199
96	3116	29012
97	3132	28832
98	3151	28679
99	3170	28531
100	3188	28376
101	3205	28225
102	3226	28102
103	3248	27986
104	3267	27853
105	3284	27701
106	3303	27567
107	3319	27413
108	3332	27240
109	3350	27111
110	3367	26971
111	3384	26832
112	3400	26692
113	3420	26582
114	3444	26506
115	3462	26384
116	3478	26253
117	3495	26124
118	3511	25998
119	3527	25865
120	3544	25745
121	3559	25614
122	3577	25505
123	3596	25407
124	3612	25286
125	3627	25160
126	3641	25031
127	3656	24907
128	3672	24793
129	3688	24686
130	3704	24574
131	3718	24450
132	3732	24329
133	3747	24219
134	3762	24110
135	3780	24015
136	3795	23907
137	3810	23801
138	3824	23688
139	3840	23588
140	3854	23484
141	3867	23367
142	3886	23292
143	3900	23188
144	3914	23083
145	3929	22982
146	3943	22885
147	3958	22786
148	3975	22704
149	3990	22611
150	4005	22521
151	4021	22437
152	4036	22343
153	4050	22252
154	4066	22171
155	4085	22104
156	4100	22018
157	4114	21927
158	4130	21849
159	4145	21765
160	4159	21674
161	4176	21604
162	4192	21530
163	4208	21453
164	4224	21378
165	4239	21299
166	4256	21230
167	4271	21154
168	4289	21091
169	4306	21024
170	4323	20962
171	4339	20891
172	4363	20859
173	4389	20837
174	4412	20802
175	4434	20761
176	4459	20733
177	4491	20741
178	4553	20883
179	4570	20821
180	4589	20765
181	4609	20718
182	4631	20676
183	4648	20616
184	4692	20671
185	4717	20646
186	4735	20586
187	4753	20532
188	4769	20464
189	4787	20407
190	4802	20342
191	4819	20282
192	4836	20221
193	4853	20162
194	4869	20102
195	4892	20067
196	4920	20055
197	4941	20014
198	4968	19997
199	5000	20002
200	5034	20010
201	5054	19968
202	5075	19925
203	5103	19912
204	5124	19873
205	5142	19822
206	5162	19776
207	5188	19757
208	5210	19720
209	5230	19674
210	5249	19629
211	5268	19583
212	5289	19545
213	5303	19478
214	5321	19427
215	5336	19370
216	5351	19308
217	5367	19255
218	5385	19205
219	5401	19150
220	5418	19098
221	5433	19042
222	5448	18985
223	5466	18936
224	5484	18892
225	5500	18836
226	5515	18782
227	5537	18750
228	5552	18693
229	5568	18640
230	5585	18595
231	5601	18542
232	5616	18487
233	5633	18440
234	5647	18385
235	5663	18333
236	5678	18282
237	5695	18236
238	5715	18198
239	5731	18149
240	5747	18101
241	5764	18054
242	5783	18016
243	5800	17971
244	5817	17927
245	5841	17902
246	5864	17879
247	5901	17895
248	5936	17904
249	5954	17863
250	5973	17826
251	5990	17782
252	6007	17738
253	6026	17701
254	6044	17659
255	6061	17617
256	6078	17573
257	6097	17535
258	6115	17495
259	6131	17451
260	6148	17409
261	6165	17366
262	6179	17317
263	6204	17297
264	6218	17246
265	6238	17213
266	6256	17175
267	6273	17135
268	6293	17102
269	6310	17060
270	6327	17019
271	6344	16980
272	6360	16937
273	6377	16896
274	6394	16858
275	6412	16820
276	6430	16784
277	6447	16744
278	6465	16707
279	6483	16671
280	6507	16650
281	6524	16612
282	6545	16582
283	6569	16562
284	6593	16541
285	6614	16513
286	6635	16484
287	6655	16453
288	6675	16424
289	6693	16387
290	6719	16372
291	6741	16345
292	6759	16310
293	6775	16270
294	6791	16231
295	6813	16205
296	6828	16162
297	6846	16128
298	6861	16087
299	6877	16047
300	6896	16015
301	6914	15980
302	6929	15940
303	6945	15901
304	6962	15864
305	6976	15823
306	6992	15783
307	7013	15757
308	7030	15721
309	7051	15696
310	7084	15695
311	7123	15708
312	7156	15707
313	7192	15714
314	7225	15713
315	7337	15883
316	7374	15889
317	7403	15878
318	7440	15882
319	7463	15859
320	7485	15833
321	7501	15795
322	7516	15754
323	7532	15715
324	7545	15671
325	7561	15634
326	7577	15595
327	7598	15568
328	7612	15525
329	7625	15482
330	7638	15439
331	7652	15396
332	7669	15361
333	7687	15329
334	7708	15302
335	7724	15265
336	7741	15229
337	7758	15196
338	7798	15205
339	7838	15215
340	7864	15198
341	7897	15194
342	7922	15175
343	7938	15139
344	7956	15104
345	7969	15064
346	7985	15028
347	8002	14992
348	8020	14960
349	8037	14926
350	8053	14891
351	8067	14852
352	8082	14813
353	8098	14778
354	8115	14745
355	8132	14710
356	8146	14673
357	8163	14640
358	8181	14607
359	8198	14575
360	8213	14539
361	8228	14502
362	8244	14468
363	8260	14433
364	8277	14400
365	8294	14368
366	8309	14331
367	8325	14298
368	8340	14262
369	8355	14226
370	8369	14190
371	8385	14155
372	8403	14126
373	8420	14093
374	8434	14057
375	8449	14022
376	8464	13988
377	8479	13952
378	8497	13923
379	8512	13889
380	8529	13857
381	8546	13826
382	8561	13792
383	8578	13760
384	8594	13728
385	8609	13694
386	8622	13657
387	8636	13622
388	8651	13588
389	8664	13552
390	8677	13516
391	8695	13487
392	8708	13451
393	8722	13416
394	8738	13383
395	8751	13348
396	8766	13315
397	8780	13280
398	8797	13250
399	8811	13216
400	8825	13183
401	8838	13148
402	8856	13119
403	8871	13087
404	8885	13054
405	8902	13024
406	8918	12993
407	8931	12958
408	8945	12925
409	8959	12892
410	8972	12858
411	8988	12828
412	9001	12794
413	9015	12760
414	9028	12726
415	9040	12691
416	9053	12657
417	9068	12626
418	9081	12592
419	9096	12561
420	9110	12529
421	9124	12497
422	9137	12464
423	9151	12432
424	9168	12404
425	9181	12371
426	9198	12343
427	9213	12312
428	9226	12280
429	9240	12248
430	9257	12220
431	9271	12189
432	9284	12157
433	9299	12127
434	9315	12099
435	9329	12068
436	9345	12039
437	9359	12009
438	9375	11980
439	9390	11951
440	9405	11922
441	9420	11892
442	9435	11863
443	9450	11833
444	9463	11802
445	9477	11772
446	9489	11739
447	9505	11712
448	9518	11680
449	9531	11649
450	9545	11620
451	9558	11588
452	9571	11557
453	9587	11530
454	9603	11502
455	9616	11472
456	9630	11442
457	9642	11411
458	9655	11380
459	9669	11351
460	9684	11323
461	9700	11296
462	9714	11267
463	9729	11238
