iter	Logloss
0	0.6786482687
1	0.6660221068
2	0.6535509415
3	0.6422232439
4	0.6322256061
5	0.6224675333
6	0.6140747927
7	0.6043969219
8	0.5966051687
9	0.5903206984
10	0.5837632004
11	0.5774492825
12	0.5716565591
13	0.5666329228
14	0.5623269811
15	0.5577585725
16	0.5542111052
17	0.5499458777
18	0.5464102233
19	0.5431149329
20	0.5397582161
21	0.5364064342
22	0.5332816406
23	0.5303863788
24	0.5269622172
25	0.524538935
26	0.5201491568
27	0.5175614306
28	0.5153574012
29	0.5083175544
30	0.5053558023
31	0.5032380613
32	0.5003424315
33	0.4958840128
34	0.4936381277
35	0.4920917732
36	0.4905887545
37	0.4882298544
38	0.482870503
39	0.4813989261
40	0.4796624266
41	0.4782936905
42	0.4770389531
43	0.4746854743
44	0.4713605064
45	0.4699410858
46	0.4674805975
47	0.4659141663
48	0.4642578485
49	0.4632084955
50	0.460221153
51	0.4593067491
52	0.4548770532
53	0.4538820427
54	0.4529582892
55	0.4517461239
56	0.449580264
57	0.4458177962
58	0.4444643483
59	0.4425270736
60	0.4417578018
61	0.4391080073
62	0.4361117232
63	0.4354269165
64	0.4338992861
65	0.4329100754
66	0.4315076661
67	0.4305387827
68	0.4283219512
69	0.4263389803
70	0.4245505132
71	0.4233387052
72	0.4221537592
73	0.4206840565
74	0.4175453092
75	0.4166279505
76	0.4161355986
77	0.4152477306
78	0.4133397592
79	0.4103480025
80	0.4093592776
81	0.4078629363
82	0.4059146278
83	0.4028964249
84	0.4020871268
85	0.4006794613
86	0.3975543152
87	0.3952023791
88	0.3940190856
89	0.393561342
90	0.3915937966
91	0.3911037951
92	0.3907312859
93	0.3887094161
94	0.3867818604
95	0.3850947847
96	0.3843900889
97	0.3822906915
98	0.3791066583
99	0.3786312868
100	0.3775304292
101	0.3766790643
102	0.3757119266
103	0.3724015707
104	0.3720596017
105	0.3706417718
106	0.3692616981
107	0.3683254486
108	0.3669836046
109	0.3661417607
110	0.364578632
111	0.3635568242
112	0.3619385541
113	0.3615546023
114	0.3612398431
115	0.3597236688
116	0.358152491
117	0.3577156457
118	0.3569706355
119	0.3566147672
120	0.3553261316
121	0.3536824218
122	0.3531834484
123	0.3507639205
124	0.3498739621
125	0.3484615615
126	0.3453547374
127	0.3436841419
128	0.3429361172
129	0.3422220686
130	0.3414690497
131	0.3398393228
132	0.3382434533
133	0.3373275052
134	0.3361952153
135	0.3353767289
136	0.3326693185
137	0.3315218461
138	0.3307733485
139	0.3293371698
140	0.3287993389
141	0.3282494829
142	0.3278848499
143	0.3276872224
144	0.3267198429
145	0.3253864656
146	0.3247718622
147	0.3237587428
148	0.3235921041
149	0.3227523419
150	0.3209925161
151	0.3201913147
152	0.3196083254
153	0.3177942595
154	0.3165332485
155	0.3154489057
156	0.3140019922
157	0.3131496916
158	0.3129353032
159	0.3123896499
160	0.3115741336
161	0.3111609796
162	0.3106329591
163	0.3091747454
164	0.3088344398
165	0.3080328506
166	0.3076048743
167	0.3069633225
168	0.3065087204
169	0.3054722951
170	0.3047156053
171	0.3045983522
172	0.304017704
173	0.3031247823
174	0.3020386928
175	0.3017072111
176	0.2999959119
177	0.299700483
178	0.2994303499
179	0.298926874
180	0.2983990275
181	0.2968193335
182	0.2964968896
183	0.2959788258
184	0.2954968445
185	0.2952440376
186	0.2946347151
187	0.2924354633
188	0.2922579762
189	0.2909941918
190	0.2905457664
191	0.2900054311
192	0.2895636937
193	0.2891466958
194	0.2886165867
195	0.2879925193
196	0.2860190663
197	0.2851673228
198	0.2848564454
199	0.2836963404
200	0.2833901241
201	0.2826028234
202	0.2817477253
203	0.2813121177
204	0.2807328924
205	0.2798420543
206	0.2785977294
207	0.2763729989
208	0.2762028581
209	0.2755112026
210	0.2748178897
211	0.2730732956
212	0.2723275023
213	0.2719502893
214	0.271387264
215	0.2709894261
216	0.270714637
217	0.2701991277
218	0.2699893908
219	0.2691283644
220	0.2683443519
221	0.2681042695
222	0.2676463032
223	0.2672393579
224	0.2670530464
225	0.2662476962
226	0.2651086684
227	0.2648781032
228	0.2639117674
229	0.2634911302
230	0.2625935037
231	0.2621194197
232	0.2612481734
233	0.2609830892
234	0.2607019372
235	0.260283314
236	0.2600581514
237	0.2594891899
238	0.258836001
239	0.2585078015
240	0.2584057919
241	0.2581496521
242	0.257904823
243	0.2577246519
244	0.2575389712
245	0.2573682692
246	0.2572378244
