iter	Passed	Remaining
0	8	8677
1	20	10173
2	28	9433
3	32	8168
4	39	7859
5	47	7918
6	52	7484
7	63	7858
8	70	7752
9	79	7885
10	85	7682
11	93	7718
12	100	7608
13	107	7580
14	115	7614
15	120	7437
16	128	7412
17	132	7230
18	137	7076
19	145	7147
20	150	7014
21	155	6915
22	165	7012
23	169	6888
24	180	7046
25	185	6963
26	195	7046
27	199	6939
28	205	6867
29	210	6794
30	214	6706
31	219	6626
32	228	6698
33	242	6898
34	261	7222
35	279	7484
36	293	7637
37	297	7536
38	302	7451
39	310	7455
40	314	7365
41	320	7305
42	326	7267
43	330	7190
44	336	7134
45	343	7119
46	347	7047
47	353	7007
48	362	7031
49	367	6981
50	380	7071
51	385	7026
52	394	7045
53	398	6984
54	404	6949
55	408	6894
56	413	6840
57	419	6805
58	424	6778
59	429	6726
60	434	6691
61	440	6667
62	445	6624
63	450	6583
64	456	6563
65	463	6552
66	475	6627
67	480	6589
68	489	6606
69	493	6561
70	499	6540
71	505	6518
72	510	6476
73	514	6443
74	522	6448
75	527	6413
76	534	6408
77	539	6377
78	547	6380
79	562	6464
80	576	6540
81	591	6626
82	607	6708
83	611	6672
84	620	6678
85	625	6648
86	632	6641
87	640	6633
88	646	6613
89	652	6602
90	658	6575
91	666	6581
92	671	6553
93	676	6524
94	686	6544
95	691	6515
96	698	6499
97	704	6482
98	710	6461
99	718	6468
100	723	6439
101	729	6423
102	734	6393
103	738	6364
104	743	6340
105	750	6327
106	754	6298
107	759	6270
108	766	6269
109	771	6243
110	776	6221
111	785	6224
112	790	6206
113	802	6234
114	806	6207
115	814	6208
116	819	6181
117	823	6155
118	830	6149
119	835	6125
120	839	6101
121	849	6111
122	853	6087
123	858	6067
124	868	6077
125	873	6058
126	887	6097
127	900	6134
128	908	6131
129	918	6144
130	929	6163
131	936	6155
132	947	6176
133	956	6179
134	967	6198
135	979	6220
136	1003	6321
137	1061	6628
138	1143	7083
139	1167	7169
140	1179	7186
141	1207	7294
142	1216	7290
143	1270	7549
144	1278	7540
145	1295	7575
146	1313	7621
147	1320	7600
148	1331	7602
149	1347	7637
150	1359	7646
151	1369	7640
152	1381	7649
153	1392	7648
154	1404	7655
155	1417	7668
156	1428	7670
157	1438	7664
158	1449	7665
159	1470	7722
160	1478	7704
161	1491	7716
162	1497	7691
163	1508	7690
164	1518	7682
165	1540	7739
166	1547	7719
167	1563	7744
168	1574	7743
169	1580	7718
170	1590	7708
171	1649	7941
172	1661	7940
173	1686	8006
174	1695	7994
175	1705	7984
176	1744	8112
177	1753	8098
178	1779	8162
179	1791	8159
180	1798	8140
181	1814	8157
182	1824	8144
183	1835	8139
184	1855	8174
185	1869	8183
186	1876	8158
187	1888	8156
188	1926	8265
189	1945	8294
190	1951	8264
191	1962	8258
192	1970	8240
193	1981	8234
194	1992	8226
195	2012	8256
196	2033	8286
197	2042	8274
198	2049	8249
199	2064	8257
200	2072	8238
201	2078	8212
202	2116	8309
203	2128	8305
204	2136	8287
205	2144	8265
206	2163	8286
207	2185	8322
208	2207	8354
209	2238	8420
210	2257	8441
211	2268	8431
212	2274	8404
213	2283	8386
214	2296	8384
215	2314	8400
216	2323	8382
217	2350	8430
218	2356	8402
219	2366	8391
220	2372	8363
221	2400	8412
222	2407	8388
223	2420	8384
224	2439	8403
225	2463	8436
226	2469	8409
227	2484	8411
228	2499	8414
229	2508	8398
